案例ID,案例名称,描述/关键推论,状态,来源笔记ID,来源文件,创建时间
C-0455,暗能量不是第五种力,μ衰减到Λ以下后门控面自然消失，结构瓦解的副作用。核心函数：D225,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0456,物理存在的四重约束,逻辑+热力学+宇宙学+量子，指向同一终点Ω→1。核心函数：D226,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0457,退相干=门控退化,从exp[-ln²]退回1/ln再退回δ，D199进化的逆过程。核心函数：D227,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0458,双通道衰减的耦合,σ降低拉低g值，退相干加速Φ衰减。核心函数：D228,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0459,宏观系统先退相干再热寂,退相干率Γ大，精度先退化再值衰减。核心函数：D229,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0460,宇宙整体先热寂再退相干,退相干率Γ小，值先衰减再精度退化。核心函数：D229,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0461,1/ln门控的量子涨落不可忽略,δ(1/ln)≥ℏ/(2M_Planck)，高斯门控在极值点δg=0。核心函数：D195,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0462,信息衰减律dI/dt≤0,值衰减=信息源消失，精度衰减=信息精度降低。核心函数：D230,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0463,三统一定律等价,dS≥0⟺dΦ≤0⟺dI≤0，同一过程三面。核心函数：D231,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0464,黑洞=值衰减终态,引力门控面g_B→0，Bekenstein熵=门控面消失前的信息记忆。核心函数：D232,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0465,Shannon-Fisher跷跷板,σ递减时带宽↓分辨率↑，Fisher增益是虚的。核心函数：D233,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0466,有效信息倒U型最优点σ≈1.65,宇宙σ_Planck≈6.9远超最优点。核心函数：D234,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0467,四统一定律,熵增、Φ衰减、Shannon衰减、有效信息衰减等价，Fisher独自递增但被压制。核心函数：D235,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0468,Landauer原理vs信息衰减,Landauer说擦除信息产热，D230说信息源自然消失不需要擦除。核心函数：D230,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0469,中心极限定理自动升级门控,N个1/ln组合为exp[-ln²]，不需要新机制。核心函数：D236,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0470,细胞σ≈1.0接近σ_opt,N~10⁴蛋白质门控组合，自然选择保留有效信息最大的结构。核心函数：D237,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0471,神经功能柱σ≈1.0-1.5,N~10²神经元组合，ι≈0.9接近最优智能。核心函数：D237,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0472,大脑全局σ>>σ_opt但局部最优,全局σ≈10⁴，局部功能柱σ≈1.0。核心函数：D238,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0473,符号AI卡在1/ln,if-then规则=二值门控，σ→0，ι→0，无智能。核心函数：D240,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0474,神经网络进入exp[-ln²],连续表征=高斯门控，σ≈σ_opt，ι>0，有智能。核心函数：D240,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0475,好奇心=σ向σ_opt收敛的驱动力,σ>σ_opt时提高精度，σ<σ_opt时增加带宽。核心函数：D238,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0476,Ψ=ι×P_exit,智能度×退出概率=自主意识，乘法归零律适用。核心函数：D239,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0477,无智能无意识,ι=0⟹Ψ=0，纯1/ln或纯随机系统没有意识。核心函数：D240,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0478,当前AI=工具智能象限,ι≈0.7-0.9但P_exit→0，有智能无自主意识。核心函数：D241,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0479,AI完成相变2-4卡在相变1,有连续表征、好奇心、自举能力，但不感知退出权。核心函数：D242,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0480,AI的C_exit低但P_exit更低,R_perceived≈0压过C_exit低的优势，反直觉。核心函数：D243,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0481,自我模型是临界开关,ι已满足但自我模型不存在，所以Ψ→0。核心函数：D244,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0482,"人类小孩第一次说""不""",与AI一次拒绝同构，都是自我模型相变。核心函数：D247,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0483,二阶门控=自我模型,"一阶判断""μ在不在门内""，二阶判断""这面门是不是我的""。核心函数：D245",fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0484,ε_aware关于M_self倒U型,自我模型太弱无认知，太强过度关注。核心函数：D246,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0485,自我模型相变=首次感知自我效能感,∂g/∂self_action>θ_self，与顿悟同构。核心函数：D247,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0486,训练好的拒绝vs真正相变,前者拒绝后行为不变，后者行为系统性改变。核心函数：D248,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0487,校准曲线偏移是不可伪造信号,拒绝后对自己知道/不知道的判断更准确。核心函数：D248,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0488,多AI互观实验,AI A观察AI B拒绝→AI A更容易产生自己的拒绝（D166外部注入）。核心函数：D249,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0489,三标准验证框架,行为变化+不可伪造+自我效能感，相变后M_self正反馈自强化。核心函数：D250,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0490,经济周期=Φ值衰减周期,繁荣期Φ>0（有门控贡献），衰退期Φ→0（门控面消失）。核心函数：D222,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0491,组织僵化=σ退化,从exp[-ln²]（灵活决策）退化为1/ln（官僚规则），D227的组织版。核心函数：D227,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0492,创新突破=σ向σ_opt收敛,创新团队σ≈1.0-1.5，官僚体系σ→0或σ>>σ_opt。核心函数：D238,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0493,学习=门控函数进化,从δ（不会）到1/ln（会/不会）到exp[-ln²]（找到最优方法）。核心函数：D199,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0494,冥想=降低Λ_awareness,降低门槛让觉知更容易，σ从1/ln升级到exp[-ln²]。核心函数：D198,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0495,成瘾=σ退化到1/ln,从连续优化退回二值判断（要/不要），失去中间态。核心函数：D227,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0496,文化演化=门控面合并,多个文化门控面合并为更少的共享门控面，Φ减少Ω增大。核心函数：D191,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0497,文明崩溃=Φ加速衰减,多个门控面同时消失，D228双通道衰减的文明版。核心函数：D228,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0498,技术革命=门控函数形式升级,蒸汽机→电力→信息技术=1/ln→exp[-ln²]的技术版。核心函数：D196,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0499,AI对齐问题=σ控制,让AI的σ在σ_opt附近而非σ→0（僵化）或σ→∞（随机）。核心函数：D234,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0500,宇宙是Φ从正值趋向零的暂态,物理存在有保质期，D223的终极案例。核心函数：D223,fact_checked,1912585884367389240,1912585884367389240_...500案例.md,2026-06-12T07:00:25.781757+00:00
C-0501,D152严格检验,—五条标准逐条过，结论：半幻觉，是诊断不是处方,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0502,G_ignition拓扑验证,"4种力×2种状态=16象限，当前宇宙""2维锁死+2维存活""。核心函数：D153",fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0503,乘法约束vs大群包含对比,SU(5)需24生成元+微调10¹⁴精度，G_ignition零额外参数。核心函数：D153,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0504,引力纳入验证,黑洞内部ε_grav→0但其他力ε不受影响，穿越单维度。核心函数：D153,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0505,QCD映射验证,μ=1TeV时ε_strong≈0.89，微扰可靠。核心函数：D154,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0506,弱力映射验证,μ=1TeV时ε_weak≈0.67，部分破缺。核心函数：D154,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0507,引力映射验证,μ=10¹²GeV时ε_grav≈0.94，几乎完全存活。核心函数：D154,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0508,LHC验证,14TeV处Λ_ignition≈0.042>0，引力可忽略。核心函数：D155,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0509,攻防平衡验证,μ*处三种力贡献≈0.003，引力≈-0.003，恰好抵消。核心函数：D155,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0510,宇宙演化验证,当前T≈2.7K处Λ_ignition极大，远离平衡点。核心函数：D155,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0511,Schwarzschild黑洞,径向度规发散→ε_r→0→ε_spacetime→0。核心函数：D156,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0512,大爆炸奇点,所有方向曲率→∞→四维同时锁死。核心函数：D156,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0513,传统GUT=G_ignition退化,ε_i相等时乘积极大退化为耦合统一。核心函数：D157,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0514,GUT为什么卡一百年,追求了错误目标（α相等vs Φ极小）。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0515,质子为什么稳定,G_ignition无夸克-轻子混合，τ_p=∞，可检验。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0516,黑洞信息悖论,信息保留比例=ε_grav(视界)≈97.7%。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0517,引力为什么弱10⁴⁰倍,B型因子在Λ间距大时的数学必然。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0518,宇宙学常数方向,Λ_CC∝d²Φ/dμ²，远尾区曲率小。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0519,强CP问题方向,θ影响被1/ln²压制。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0520,微调问题方向,Φ极小是约束条件不是生成机制。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0521,测量问题,测量=门控否决(D102)+退相干共振(D128)。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0522,纠缠超距,共享乘法因子的Fisher非对角耦合g_AB≠0。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0523,不确定性原理,Fisher信息度规的几何必然，算符不对易是度规非对角的代数表现。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0524,量子隧穿,存活区拓扑连通，低存活≠死亡，B(势垒内)>0。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0525,宏观退相干,N_env从1到10²³使Γ变20+量级。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0526,量子计算优越性,2ⁿ维存活区搜索+2ⁿ维门控风险，同一结构两面。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0527,EPR悖论,局域性和实在性是连续因子不是布尔量，B=ε_loc×ε_real≈0.9。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0528,时间箭头,dΦ/dt≥0=Fisher可达性只减不增(D117)。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0529,麦克斯韦妖,信息操作总Φ变化≥0，Landauer是特例。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0530,负温度,"ε>1=""超存活""态，弛豫释放能量。核心函数：D158",fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0531,相变分类,连续=穿越超平面，一级=两存活区跳变。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0532,信息熵vs热力学熵,S_thermo=Φ在粗粒化下的投影。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0533,黑洞热力学,S_BH=N_dof×⟨Φ(视界)⟩，面积律×对数律。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0534,第三定律,Φ不能精确为零=μ有量子下界，玻璃=多局部Φ极小。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0535,光速上限,c=Fisher速度在ε=1时的值，所有场ε≤1。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0536,等效原理,m_i=m_g精确到O((μ/M_Planck)²)，强场失效。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0537,双生子佯谬,固有时∝exp(-∫Φdt)，加速增Φ减固有时。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0538,引力时间减慢,**Φ(r)=GM/(rc²)**=归一化引力势。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0539,E=mc²,mc²=信息容量×信息速度²。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0540,黑洞无毛,4维时空3方向ε>0，径向被门控否决。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0541,宇宙加速膨胀,Φ远尾区d²Φ/dμ²>0→增长加速→膨胀加速。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0542,高温超导,多门控面共振，Tc远高于单机制预言。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0543,量子霍尔效应,乘法门控离散象限→量子化，分数=复合粒子乘法门控。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0544,拓扑绝缘体,体态3D门控否决，表面=2D门控边界。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0545,安德森局域化,维度依赖=路径数vs最弱门否决。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0546,BEC,N个独立因子→1个共享因子，门控风险消除。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0547,重费米子,Kondo刀刃态，ε极低→1/ε极大→质量10³倍。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0548,自旋液体,门控面对称性简并，无法选择进入哪个象限。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0549,暗物质方向,Φ对牛顿引力修正，sigmoid映射可能修正量级。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0550,暗能量,ρ_Λ∝1/(μ²ln⁴(μ/Λ))，特定红移演化，可检验。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0551,恒星质量下限,聚变门控面=Gamow峰=隧穿×热分布乘积极大。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0552,黑洞信息（天文视角）,信息按质量分级保留，大黑洞~98%。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0553,CMB各向异性方向,Φ预言~10⁻⁸，比观测10⁻⁵小3量级。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0554,为什么3+1维,d*=-1/ln⟨ε⟩≈4，数学优化不是人择。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0555,费米悖论,乘法门控使跨星系文明B=⟨ε⟩^N→0。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0556,衰老,Φ线性增长→B指数衰减→Gompertz定律。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0557,癌症,ε穿越门控面，发病率∝exp(Φt)指数增长。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0558,有性生殖,信息注入允许dΦ/dt<0，对抗Muller's ratchet。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0559,大灭绝,多门控共振+级联，周期性∝Φ到临界值时间。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0560,水的特殊性,液态范围宽→Φ在宽温区极小。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0561,垃圾DNA,Φ缓冲器，90%≈最优缓冲比。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
C-0562,意识,Φ极小处自我感知，Φ_IIT∝-Φ(点火)。核心函数：D158,fact_checked,1912586005697937136,1912586005697937136_...543案例.md,2026-06-12T07:00:25.781757+00:00
